Date,MAE,RMSE,SMAPE,Residual
2006-08-03,5159.306304505855,5159.306304505855,31.496929536723812,5159.306304505855
2006-08-04,3221.9394098273333,3221.9394098273333,23.227931993002553,-3221.9394098273333
2006-08-05,5206.34395536279,5206.34395536279,30.13483695408159,5206.34395536279
2006-08-06,4965.898088730173,4965.898088730173,82.31294599394033,-4965.898088730173
2006-08-07,6687.268771436415,6687.268771436415,11.275802693642094,6687.268771436415
2006-08-08,1758.5033968205898,1758.5033968205898,7.99346914580582,-1758.5033968205898
2006-08-09,3831.415782551743,3831.415782551743,56.97872312210897,3831.415782551743
2006-08-10,7898.3559709986985,7898.3559709986985,148.163940748987,7898.3559709986985
2006-08-11,1715.672053413724,1715.672053413724,33.42979808014268,1715.672053413724
2006-08-12,11192.299620024372,11192.299620024372,128.26160292575523,-11192.299620024372
