Date,ATM_WITHDRWLS_1WEEKAGO,HOLIDAY,AVG_ATM_WITHDRW_PREVMONTH,ATM_WITHDRWLS_2WEEKAGO,DAY_OF_WEEK,MONTH,FIRSTWORKDAY,LASTWORKDAY,BRA_WITHDRWL_RATIO,AVG_BRA_WITHDRWL_PREVMONTH,BRA_WITHDRWLS,BRA_DEPOSITS,IsSaturday,IsSunday
2006-08-31,-1766.0658275297246,-4814.317868526501,-3888.720843802643,-1336.4992463141607,-4327.897475400512,-5674.36867546563,15253.157282134678,15216.367440148795,33261.95590947844,-2695.7418379932715,33971.188135229764,-9656.47444079764,3087.370333955976,15216.367440148751
2006-09-01,-2508.545159689267,-3817.520169433672,-6635.092575685587,-917.2269544880837,-2335.741893680941,-8021.19988922833,14594.69564202617,13885.518055489374,30088.72988104017,-2943.3642737264454,51570.160721616936,-27555.40868779103,1904.7845287272066,13885.518055489665
2006-09-02,-1665.9683752413548,-695.8587846415903,-6899.889375006169,165.92001984952003,-1975.2171256214497,-7799.9133047137,16931.847693235308,13140.530747387122,31318.37349815231,-3136.6672562228487,50747.558258555626,-26643.82474341974,1808.1591809948295,13140.530747386656
2006-09-03,-1459.5838734214267,82.52234606147977,-5066.58779370648,-54.928355049793026,-1767.1394959865138,-5067.14291720622,16561.839759564245,14018.69445972034,31650.03475802159,-4622.883346770832,51456.593319749314,-27000.68775592523,1606.4548135103396,14018.69445972069
2006-09-04,-1856.297335625015,-285.43205711763585,-4690.823596111499,-55.82365857721015,-2137.4995734581607,-4426.974626744399,16683.160501262944,13899.489001687325,31358.367080433934,-5310.000802397262,52570.20560405601,-28056.011703798024,1711.7489883819944,13899.489001686627
2006-09-05,-1011.7626605160767,548.9182988106841,-4932.608586977556,-339.197367449,-1142.933153181868,-5484.113751064171,17968.494988179475,13933.196871818043,31680.714311725984,-4523.525357073653,50750.56291637407,-26188.78560279333,1535.0993379976135,13933.19687181781
2006-09-06,-1310.357782644016,-92.62705037189153,-4981.831895022071,-623.8957273327396,-1392.1567930851015,-5992.031761331658,17726.56122987604,14014.873516516556,31471.564358032716,-4348.953925515409,49202.162209834845,-24532.626205793233,1585.403916948213,14014.87351651679
2006-09-07,-897.4035834689857,464.76636344235885,-5563.829213629797,-448.02888834208716,-1873.4171191176283,-6849.415833150502,18075.72760517025,14359.439878506848,31511.230460951687,-4022.4662113503437,49388.47229253313,-24812.518772385214,1984.2391586621816,14359.439878507314
2006-09-08,-1016.2961380050401,686.0899317141411,-5299.095123134466,-756.4218570592639,-2253.1770621091637,-6866.362675244396,17802.091440598524,14494.694455333563,31633.15018765391,-4093.5074624447734,48886.07960170061,-24341.91430993912,1993.8432365364497,14494.69445533333
2006-09-09,-2621.9551669974126,500.7472707539707,-2978.5635295528245,-1733.0625733304732,-4520.022083321845,-5440.866854468946,14373.41999254454,13867.661069553636,31718.652332715596,-4265.716875775055,36021.80062887804,-13056.885370593085,2365.3230875534064,13867.661069553666
2006-09-10,-2995.6349062092186,0.0,-3320.6822400004567,-1743.9908166891782,-4600.786291704335,-6263.625292689612,13604.798647718293,13993.978777584634,31593.485408737484,-3934.6237533782187,35928.688858254216,-12983.530074250615,2448.1108850858177,13993.97877758462
2006-09-11,-1496.5611337117225,0.0,-5903.1269864641945,-695.239565719341,-2894.0010346646013,-8649.411596974998,16908.59922085541,14271.996062340622,31634.650341581844,-3640.7720689141424,47936.08859955188,-23605.539005024242,2088.7363986368437,14271.996062340157
2006-09-12,-2727.257603689375,0.0,-2909.277652409135,-1558.1280887684225,-5014.063020486243,-6803.311298335066,13694.711693376226,14072.474951532491,32294.27700474715,-3904.0573643792013,34350.365424266165,-11817.784535716044,2477.362663726245,14072.474951532433
2006-09-13,-1205.9743584217067,635.0304590281175,-5358.305897248487,-711.6912396580228,-2613.404342910406,-8767.37145217607,17242.875998691045,14257.13161409038,32167.071350417107,-3741.5253447274736,46594.25123596175,-22506.78060850226,1873.1878236812481,14257.131614090613
2006-09-14,-2480.935497231555,1546.784418789757,-2341.7392762551963,-1698.7901076835067,-4865.043178369527,-6644.770844122249,13587.570781890829,13935.51630696896,32448.321831841335,-4240.209724907255,33883.848111604675,-11641.99570234948,2308.9130658464874,13935.51630696896
2006-09-15,-2473.248201639945,1866.2450055146905,-2337.811632810822,-1637.7119087060091,-4837.667667351331,-6665.552179604079,13597.79187468841,13935.021462276534,32415.095388498663,-4306.752784792744,33843.081631927664,-11653.28676976012,2238.3511078409338,13935.021462276534
2006-09-16,-2567.203591270045,1663.0097810981588,-2404.289304268743,-1461.215412523987,-4915.483283140038,-6792.294464832115,13696.112615587354,13612.354624157113,32124.303967573716,-4381.143049006778,33407.68247937281,-11299.211512481043,2545.3609358854737,13612.354624157084
2006-09-17,-2521.027330537622,2210.595490703058,-2393.9741125580904,-1638.7940514511138,-4785.936604145638,-6549.36075781655,13082.488316310377,13966.23723199231,32119.37844240416,-4290.574820696016,33539.6830395733,-11277.542304849423,2501.8142730246764,13966.23723199234
2006-09-18,-2470.6985441146935,1596.0682836143023,-2603.9214637719547,-1314.822512386183,-4830.749381394355,-6738.362194032736,14202.47348065389,14031.850160196092,32307.340300367454,-4287.763767994211,33897.29687555022,-11593.264652475013,2485.4952460631325,14031.850160196122
2006-09-19,-1343.3272954485437,488.9506684059743,-5123.848561220715,-444.4042353417426,-3349.922641468962,-8828.2509794191,17364.34410391611,14552.339264845345,32587.755571962683,-4031.24405642692,45891.424876134406,-21836.51795819406,2312.1926269954274,14552.339264845345
2006-09-20,-2232.1263603240286,1015.9635138541562,-2397.796687248285,-1119.4085028281188,-5797.988822273088,-6217.429050481074,13674.430018860028,14210.041455766837,33039.22132715519,-4041.2435073155175,33067.10930495271,-11892.002403957555,2907.5472100873276,14210.041455766837
2006-09-21,-894.4333636417286,674.4117820051906,-5285.039873433481,-132.85220043448498,-3612.3468489153165,-8502.555384521052,16873.574311911587,14349.485061172621,32393.14507193523,-3678.1112423399463,45979.55899237741,-23101.91739099243,2680.74128686473,14349.485061172854
2006-09-22,-861.631379177561,641.6367387483479,-5398.198550084271,-67.26640410382242,-3455.966923919593,-8761.719824294385,17000.75330791532,14324.054377017106,32984.33532749035,-3872.626939301146,46170.70349705535,-23456.704401188712,2642.1030503164584,14324.054377017339
2006-09-23,-732.891209804231,540.110463682664,-4680.217852469774,-307.89371173635163,-3165.330381113996,-6633.906880846043,17480.43719938666,13625.59880833711,32771.58587489164,-2735.326147278698,46563.39799667803,-23294.80792876741,2704.2149098189548,13625.598808336877
2006-09-24,-388.1690457262448,1848.5996947246604,-3757.114467774343,-107.60138467309298,-2815.3977586637484,-4551.50039329764,16900.45700063737,13509.831334581831,33197.44309139496,-1654.5442582927644,45929.67079560668,-22653.032328856876,2565.2598007749184,13509.831334581948
